year,numbirth_lesshs,numbirth_hsgrad,numbirth_somecoll,numbirth_colgrad,numbirthalleduc,numbirth_witheduc
1990,591252,1325055,767209,678342,3623091,3361858
1991,610151,1334805,797260,719171,3577607,3461387
1992,607883,1313908,814632,754311,3545371,3490734
1993,585215,1258936,820748,767978,3484264,3432877
1994,560057,1207755,822526,792900,3431871,3383238
1995,540950,1151821,822468,819228,3384747,3334467
1996,540967,1126782,824314,846584,3385724,3338647
1997,534791,1104882,825369,871263,3384076,3336305
1998,542644,1108312,835540,905541,3443414,3392037
1999,551373,1096195,833482,935083,3469965,3416133
2000,578047,1114438,847918,984366,3576701,3524769
2001,589412,1100153,833456,996032,3567125,3519053
2002,596738,1087020,828925,1024176,3583431,3536859
2003,611372,1078968,851155,1074268,3662864,3615763
2004,626079,1049880,876604,1082746,3683887,3635309
2005,638084,1033327,910327,1083639,3710498,3665377
2006,699318,1010616,968180,1092333,3816749,3770447
2007,647122,1053901,998277,1111367,3857786,3810667
2008,621202,1017756,1007694,1108001,3799522,3754653
2009,429145,636604,720834,696675,3707945,2483258
2010,447586,681223,814663,819142,3619486,2762614
2011,458468,736338,923582,943654,3612234,3062042
2012,448219,756218,965123,1001189,3636024,3170749
2013,434357,781100,1002437,1043603,3647806,3261497
2014,453555,858239,1092928,1144885,3727786,3549607
2015,447036,879554,1108203,1190430,3737357,3625223
2016,433980,894512,1106254,1241478,3724770,3676224
2017,410171,891635,1075093,1226160,3649883,3603059
2018,388214,890286,1044927,1230793,3600530,3554220
2019,371203,890974,1019894,1231211,3564470,3513282
