year,numbirth_hispforb_other,numbirth_hispforb_mex,numbirth_hispnativeb_nonmex,numbirth_hisp_mexican_nativeb
1990,124992,238723,83625,145898
1991,125770,258401,84161,152507
1992,126681,274580,83907,155914
1993,126831,281127,82887,160730
1994,129080,287076,79795,166240
1995,129068,288987,80209,178137
1996,129834,302743,80320,185060
1997,128184,302966,81833,193744
1998,130540,310054,87694,203162
1999,133501,329828,89831,207505
2000,142297,362280,92394,215578
2001,149616,387674,92027,219478
2002,154557,399281,95108,224920
2003,160080,416164,97410,235408
2004,165947,430542,101759,244759
2005,174393,445208,118644,243874
2006,188116,460228,131646,256105
2007,191433,456304,146897,264699
2008,204026,427780,147709,258362
2009,182678,391243,165770,257107
2010,173578,351741,166587,250671
2011,172382,321989,172422,248585
2012,169630,303524,176024,255649
2013,169769,285413,180531,262734
2014,144686,271059,189444,273425
2015,179065,265608,179934,280026
2016,194946,254194,184184,283415
2017,198213,232603,185007,281374
2018,201027,216142,186293,281126
2019,208044,202317,176643,297656
